question_id,category,company,role,round,topic,difficulty,question,evidence_type,source_note
1,Service Companies,Genpact,Data Engineer,Technical Round,DBMS,Hard,How would you troubleshoot a client issue involving DBMS? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
2,AI/ML Companies,Intel,Data Scientist,Managerial Round,Probability,Medium,How would you monitor a production system involving Probability? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
3,AI/ML Companies,Samsung,Software Engineer,Online Assessment,SQL,Medium,What assumptions are important when applying SQL? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
4,Product Companies,HP,ML Engineer,Technical Round,SQL,Easy,What are the most important trade-offs when working with SQL? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
5,Product Companies,HP,ML Engineer,Technical Round,Microservices,Medium,What are the most important trade-offs when working with Microservices? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
6,Product Companies,Workday,Backend Engineer,Coding Round,JavaScript,Hard,How would you improve an existing system that has problems related to JavaScript? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
7,Product Companies,HP,Data Engineer,Technical Round,SQL,Hard,"What performance problems can occur with SQL, and how would you identify them? Give a concrete example.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
8,AI/ML Companies,Hewlett Packard Enterprise,DevOps Engineer,Coding Round,NLP,Medium,"How would you improve the accuracy, latency, or reliability of a system using NLP? Mention the main metrics you would monitor.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
9,AI/ML Companies,Qualcomm,ML Engineer,System Design,Generative AI,Easy,What data problems can affect a solution based on Generative AI? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
10,Service Companies,Mphasis,Cloud Engineer,Online Assessment,Computer Networks,Medium,Explain Computer Networks with a practical example. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
11,AI/ML Companies,Hewlett Packard Enterprise,Full Stack Engineer,Coding Round,Computer Vision,Easy,Explain Computer Vision and discuss where it is useful in a production ML system. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
12,Product Companies,Dell Technologies,Frontend Engineer,Managerial Round,DBMS,Hard,How would you test a feature that depends heavily on DBMS? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
13,Product Companies,Cisco,Full Stack Engineer,Technical Round,Java,Medium,What are the most important trade-offs when working with Java? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
14,Product Companies,Atlassian,Backend Engineer,Coding Round,System Design,Medium,How would you debug a production issue involving System Design? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
15,Cloud Companies,Nutanix,Frontend Engineer,Managerial Round,Storage,Hard,How would you reduce cost without sacrificing reliability in a Storage architecture? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
16,Cloud Companies,Akamai,Full Stack Engineer,Coding Round,Databases,Hard,Explain Databases and describe a practical production use case. Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
17,Product Companies,Mastercard,Cloud Engineer,Technical Round,DSA,Easy,What failure scenarios should be considered when designing around DSA? Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
18,Cloud Companies,Dell Technologies,Full Stack Engineer,HR Round,Storage,Medium,How would you monitor and alert on a system using Storage? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
19,Service Companies,NTT DATA,Cloud Engineer,Online Assessment,DBMS,Medium,Describe a project where DBMS could be used effectively. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
20,Product Companies,Workday,QA Engineer,Technical Round,DBMS,Medium,How would you test a feature that depends heavily on DBMS? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
21,Product Companies,HP,Systems Engineer,Technical Round,API Design,Medium,Compare two common approaches to API Design. When would you choose each? Mention the main metrics you would monitor.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
22,Cloud Companies,Rackspace Technology,Data Scientist,Technical Round,Cloud Architecture,Medium,Explain Cloud Architecture and describe a practical production use case. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
23,Product Companies,Workday,Frontend Engineer,Technical Round,Python,Easy,What failure scenarios should be considered when designing around Python? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
24,Product Companies,Adobe,Data Engineer,System Design,Operating Systems,Hard,Describe an implementation of Operating Systems and explain its time or resource complexity. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
25,HR/Behavioral,Toyota,QA Engineer,Behavioral Round,Introduction,Easy,Describe a time you handled an unhappy customer or stakeholder. Explain how you communicated with the people involved.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
26,Product Companies,Salesforce,Full Stack Engineer,HR Round,Testing,Easy,How would you improve an existing system that has problems related to Testing? Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
27,Cybersecurity Companies,CyberArk,Systems Engineer,HR Round,Cryptography,Medium,What logs or telemetry would you collect for Cryptography? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
28,Product Companies,Microsoft,Systems Engineer,HR Round,API Design,Easy,"What performance problems can occur with API Design, and how would you identify them? Explain how you would test your solution.",Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
29,HR/Behavioral,Capgemini,Security Engineer,Technical Round,Teamwork,Medium,Describe a time you received critical feedback. How did you respond?,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
30,Product Companies,VMware,Frontend Engineer,HR Round,Debugging,Easy,Describe an implementation of Debugging and explain its time or resource complexity. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
31,Service Companies,Hexaware,DevOps Engineer,System Design,Operating Systems,Medium,Describe a project where Operating Systems could be used effectively. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
32,Product Companies,Workday,Systems Engineer,Managerial Round,DSA,Hard,Explain DSA and describe a situation where you used it in a project. Explain how you would test your solution.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
33,HR/Behavioral,Cisco,Full Stack Engineer,Managerial Round,Conflict Resolution,Easy,What motivates you when a task becomes repetitive or difficult? Include how you measured whether the outcome was successful.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
34,HR/Behavioral,Salesforce,Backend Engineer,HR Round,Customer Focus,Easy,Tell me about a time you helped a teammate succeed. Explain what you learned from the experience.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
35,Service Companies,Mphasis,Software Engineer,System Design,OOP,Medium,What questions would you ask before implementing OOP for a client? Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
36,AI/ML Companies,Dell Technologies,ML Engineer,Online Assessment,MLOps,Easy,Compare two approaches commonly used for MLOps. Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
37,Cloud Companies,Microsoft,DevOps Engineer,Managerial Round,CI/CD,Medium,How would you scale a system built around CI/CD? Include the key trade-offs.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
38,Automotive Companies,Honda,Systems Engineer,Managerial Round,Computer Vision,Easy,How would you validate a solution based on Computer Vision before production? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
39,HR/Behavioral,Deloitte,Systems Engineer,Behavioral Round,Teamwork,Easy,Tell me about a time you made a mistake in a project and corrected it. Explain how you communicated with the people involved.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
40,Service Companies,Wipro,Frontend Engineer,Technical Round,Problem Solving,Medium,Compare two approaches to Problem Solving and discuss their advantages. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
41,Cloud Companies,IBM,Frontend Engineer,Technical Round,Kubernetes,Easy,What are the availability and reliability trade-offs of Kubernetes? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
42,Automotive Companies,Toyota,Full Stack Engineer,Online Assessment,Testing,Medium,Compare two approaches to implementing Testing in an automotive environment. Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
43,Product Companies,SAP,ML Engineer,System Design,Operating Systems,Hard,How would you test a feature that depends heavily on Operating Systems? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
44,Product Companies,ServiceNow,Full Stack Engineer,Coding Round,REST APIs,Easy,Describe an implementation of REST APIs and explain its time or resource complexity. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
45,Product Companies,Intuit,ML Engineer,Technical Round,Python,Medium,How would you test a feature that depends heavily on Python? Describe the approach step by step.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
46,Cybersecurity Companies,Cisco,DevOps Engineer,Online Assessment,Security Architecture,Easy,How would you validate that a control based on Security Architecture is working? Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
47,Cybersecurity Companies,F5,Data Scientist,Online Assessment,SIEM,Easy,Explain SIEM and give an example of how it protects an enterprise. Consider both performance and maintainability.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
48,HR/Behavioral,Palo Alto Networks,Security Engineer,HR Round,Adaptability,Easy,Tell me about a difficult problem you solved and how you approached it.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
49,Cloud Companies,Oracle,Cloud Engineer,Online Assessment,IAM,Hard,How would you design a highly available system using IAM? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
50,AI/ML Companies,MathWorks,Systems Engineer,Managerial Round,Model Evaluation,Medium,Compare two approaches commonly used for Model Evaluation. Discuss common failure cases.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
51,HR/Behavioral,NVIDIA,Cloud Engineer,Technical Round,Communication,Medium,Tell me about a difficult problem you solved and how you approached it.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
52,HR/Behavioral,TCS,QA Engineer,Online Assessment,Career Goals,Medium,Describe a time you received critical feedback. How did you respond?,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
53,AI/ML Companies,Bosch,Security Engineer,Technical Round,Generative AI,Easy,How would you build a solution using Generative AI for a real-world problem? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
54,AI/ML Companies,SAP,Backend Engineer,Coding Round,Probability,Hard,Compare two approaches commonly used for Probability. Assume the system is used at large scale.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
55,Product Companies,Mastercard,Security Engineer,Coding Round,Python,Easy,How would you improve an existing system that has problems related to Python? Give a concrete example.,Publicly reported / commonly reported pattern,Public interview-report aggregators and company interview reports; exact attribution varies
